FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,Time,SN
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.026441,0.822,7.1702e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.026686,0.823,7.332e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.026931999999999998,0.824,7.493799999999999e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.027116,0.824,7.654600000000001e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.027422000000000002,0.825,7.8154e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.027667,0.825,7.9757e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.027913,0.826,8.1349e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.028097,0.827,8.2932e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.028402999999999998,0.827,8.4514e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.028587,0.828,8.6096e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.028832,0.828,8.7678e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.029138999999999998,0.828,8.925e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.029384,0.829,9.082199999999999e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.02963,0.829,9.238899999999999e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.029875000000000002,0.83,9.395599999999999e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.03012,0.831,9.5513e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.030365,0.831,9.7069e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.030611000000000003,0.832,9.8631e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.030856,0.832,1.0019799999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.031101,0.833,1.0176e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.031346,0.833,1.03321e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.03153,0.834,1.04878e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.031837,0.835,1.0643999999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.032082,0.835,1.0799599999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.032265999999999996,0.836,1.09548e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.032573,0.836,1.1109399999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.032757,0.837,1.1264599999999999e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.033002000000000004,0.837,1.14192e-4,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.033308,0.837,1.15739e-4,40,7500,71026[10]-21-K-10
