current[mA],power[mW],voltage[V],mpd_current[mA]
353,87.771,1.4513,-0.2912
354,87.918,1.4523,-0.2915
355,88.066,1.4533,-0.292
356,88.213,1.4544,-0.2923
357,88.336,1.4553,-0.2929
358,88.484,1.4564,-0.2933
359,88.582,1.4574,-0.2938
360,88.779,1.4584,-0.2941
361,88.927,1.4594,-0.2944
362,89.050,1.4604,-0.2949
363,89.197,1.4614,-0.2953
364,89.320,1.4624,-0.2955
365,89.468,1.4634,-0.296
366,89.615,1.4645,-0.2961
367,89.763,1.4654,-0.2966
368,89.886,1.4664,-0.2969
369,90.033,1.4674,-0.2973
370,90.107,1.4684,-0.2976
371,90.304,1.4694,-0.2982
372,90.451,1.4704,-0.2985
373,90.525,1.4714,-0.2988
374,90.746,1.4724,-0.2992
375,90.894,1.4733,-0.2997
376,90.894,1.4743,-0.3
377,91.066,1.4753,-0.3005
378,91.238,1.4763,-0.3007
379,91.386,1.4773,-0.301
380,91.509,1.4782,-0.3013
381,91.583,1.4792,-0.3016
382,91.730,1.4802,-0.3019
383,91.853,1.4812,-0.3022
384,92.001,1.4821,-0.3026
385,92.099,1.4831,-0.3029
386,92.222,1.4840,-0.3034
387,92.370,1.4850,-0.3038
388,92.493,1.4860,-0.3042
389,92.615,1.4869,-0.3045
390,92.714,1.4879,-0.3047
391,92.837,1.4889,-0.305
392,92.984,1.4898,-0.3054
393,93.058,1.4908,-0.3057
394,93.230,1.4917,-0.3059
395,93.329,1.4926,-0.3062
396,93.476,1.4936,-0.3063
397,93.599,1.4945,-0.3068
398,93.648,1.4954,-0.3071
399,93.845,1.4964,-0.3075
400,93.968,1.4973,-0.3079
401,94.066,1.4983,-0.3081
402,94.091,1.4992,-0.3087
403,94.263,1.5001,-0.3089
404,94.435,1.5011,-0.3094
405,94.509,1.5020,-0.3095
406,94.681,1.5029,-0.3097
407,94.804,1.5039,-0.3099
408,94.903,1.5048,-0.3104
409,94.952,1.5057,-0.3106
410,95.099,1.5066,-0.3108
411,95.148,1.5076,-0.3112
412,95.296,1.5085,-0.3115
413,95.419,1.5093,-0.3118
414,95.567,1.5103,-0.3122
415,95.640,1.5112,-0.3127
416,95.813,1.5121,-0.3129
417,95.886,1.5130,-0.3131
418,95.960,1.5139,-0.3135
419,96.083,1.5148,-0.3136
420,96.181,1.5157,-0.314
421,96.304,1.5166,-0.3142
422,96.403,1.5175,-0.3146
423,96.501,1.5184,-0.3146
424,96.599,1.5193,-0.3151
425,96.698,1.5202,-0.3152
426,96.845,1.5211,-0.3156
427,96.895,1.5220,-0.3159
428,97.042,1.5229,-0.3162
429,97.091,1.5237,-0.3167
430,97.239,1.5246,-0.3166
431,97.362,1.5255,-0.317
432,97.485,1.5264,-0.3173
433,97.534,1.5273,-0.3173
434,97.657,1.5282,-0.3175
435,97.805,1.5290,-0.318
436,97.829,1.5299,-0.3181
437,97.927,1.5308,-0.3184
438,98.075,1.5316,-0.3186
439,98.124,1.5325,-0.3188
440,98.198,1.5334,-0.3191
441,98.370,1.5342,-0.3194
442,98.469,1.5351,-0.3197
443,98.493,1.5360,-0.3199
444,98.665,1.5368,-0.3201
445,98.690,1.5377,-0.3202
446,98.837,1.5386,-0.3205
447,98.887,1.5394,-0.3207
448,99.034,1.5403,-0.3211
449,99.083,1.5411,-0.3213
450,99.157,1.5420,-0.3215
451,99.255,1.5428,-0.3218
452,99.378,1.5437,-0.322
453,99.452,1.5445,-0.3221
454,99.600,1.5454,-0.3225
455,99.624,1.5462,-0.3225
456,99.698,1.5470,-0.3226
457,99.821,1.5479,-0.323
458,99.919,1.5487,-0.323
459,99.969,1.5495,-0.3234
460,100.042,1.5504,-0.3237
461,100.116,1.5512,-0.3237
462,100.190,1.5521,-0.3241
463,100.313,1.5529,-0.3242
464,100.460,1.5537,-0.3245
465,100.460,1.5545,-0.3248
466,100.534,1.5554,-0.3248
467,100.608,1.5562,-0.325
468,100.682,1.5570,-0.3253
469,100.805,1.5578,-0.3255
470,100.903,1.5586,-0.3255
471,101.051,1.5595,-0.3258
472,101.100,1.5603,-0.326
473,101.174,1.5611,-0.3261
474,101.223,1.5619,-0.3263
475,101.370,1.5627,-0.3265
476,101.346,1.5635,-0.3267
477,101.469,1.5643,-0.3269
478,101.543,1.5652,-0.327
479,101.641,1.5659,-0.3273
480,101.690,1.5668,-0.3275
481,101.813,1.5676,-0.3278
482,101.838,1.5684,-0.328
483,101.912,1.5692,-0.3279
484,101.985,1.5700,-0.3279
485,102.133,1.5708,-0.3283
486,102.157,1.5715,-0.3284
487,102.231,1.5724,-0.3285
488,102.305,1.5731,-0.3286
489,102.354,1.5739,-0.3289
490,102.453,1.5747,-0.329
491,102.551,1.5755,-0.3293
492,102.600,1.5763,-0.3295
493,102.674,1.5771,-0.3298
494,102.748,1.5778,-0.3297
495,102.821,1.5786,-0.3297
496,102.846,1.5794,-0.3298
497,102.969,1.5802,-0.33
498,103.043,1.5810,-0.3302
499,103.092,1.5817,-0.3301
500,103.166,1.5825,-0.3303
