FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,soak,SN
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.034159999999999996,1.181,1.37804e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.034404000000000004,1.182,1.3904e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.034649,1.183,1.40276e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.034894,1.186,1.41512e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.035077,1.187,1.42748e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.035383000000000005,1.188,1.43979e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.035567,1.19,1.4521e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.035872,1.192,1.46435e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.036116999999999996,1.193,1.47661e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.036301,1.195,1.48887e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.036545,1.196,1.50112e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.036729,1.198,1.51333e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.036974,1.199,1.52549e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.03727900000000001,1.201,1.5375899999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.037463,1.202,1.54964e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.037769,1.203,1.5616399999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.038013,1.206,1.57365e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.038258,1.207,1.5856e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.038503,1.208,1.5975999999999997e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.038747000000000004,1.21,1.60955e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.038992,1.211,1.6214e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.039237,1.213,1.63314e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.039482,1.214,1.64489e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.039726,1.216,1.6566900000000002e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.039909999999999994,1.217,1.66848e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.040216,1.219,1.6802799999999997e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.04046,1.22,1.6920799999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.040705,1.222,1.70393e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.04095,1.223,1.71578e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.041194,1.224,1.72757e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.041378,1.226,1.73937e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.041684,1.227,1.75127e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.041805999999999996,1.229,1.76322e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.042112000000000004,1.231,1.77517e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.042418,1.232,1.7870199999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.042601,1.233,1.79887e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.042845999999999995,1.235,1.81072e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.043091000000000004,1.236,1.82256e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.043274,1.237,1.83436e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.04358,1.238,1.84616e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.043762999999999996,1.241,1.8579599999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.044069000000000004,1.242,1.8697499999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.044314,1.243,1.88145e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.044559,1.245,1.89314e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.044802999999999996,1.246,1.90484e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.045048000000000005,1.247,1.9165899999999998e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.045293,1.249,1.92833e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.045537,1.25,1.94008e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.045721,1.252,1.95182e-4,40,0,HL13B5CP00_L2-52-AD-Qb
